especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL29,2022-01-03,6970.0,7030.0,6860.5,6979.0,102778,1641178800
AL29,2022-01-04,6975.5,7000.0,6890.0,6890.0,157136,1641265200
AL29,2022-01-05,6882.0,6940.0,6734.0,6784.0,530530,1641351600
AL29,2022-01-06,6767.0,6850.0,6550.0,6679.0,274689,1641438000
AL29,2022-01-07,6557.0,6642.0,6500.0,6560.0,83302,1641524400
AL29,2022-01-10,6560.0,6600.0,6360.0,6539.0,148334,1641783600
AL29,2022-01-11,6539.0,6600.0,6475.0,6515.0,358797,1641870000
AL29,2022-01-12,6500.0,6549.5,6447.0,6495.0,274719,1641956400
AL29,2022-01-13,6490.0,6497.0,6400.0,6400.0,264924,1642042800
AL29,2022-01-14,6310.0,6384.0,6301.0,6340.0,220821,1642129200
AL29,2022-01-17,6400.0,6450.0,6290.0,6370.0,150593,1642388400
AL29,2022-01-18,6399.5,6399.5,6320.0,6335.0,106180,1642474800
AL29,2022-01-19,6326.0,6520.0,6325.0,6517.0,290063,1642561200
AL29,2022-01-20,6554.0,6595.0,6490.0,6548.0,250265,1642647600
AL29,2022-01-21,6480.5,6630.0,6480.0,6590.0,141311,1642734000
AL29,2022-01-24,6660.0,6660.0,6502.0,6543.0,122693,1642993200
AL29,2022-01-25,6615.0,6615.0,6475.5,6550.0,136462,1643079600
AL29,2022-01-26,6605.5,6807.0,6605.5,6782.0,97728,1643166000
AL29,2022-01-27,6782.0,6859.5,6700.0,6800.0,185689,1643252400
AL29,2022-01-28,7000.0,7200.0,6850.0,7079.0,362593,1643338800
AL29,2022-01-31,7078.0,7300.0,7078.0,7299.0,211907,1643598000
AL29,2022-02-01,7289.0,7289.0,7160.0,7200.0,660226,1643684400
AL29,2022-02-02,7150.0,7250.0,7093.0,7100.0,2647103,1643770800
AL29,2022-02-03,7000.0,7100.0,6885.5,6974.0,424958,1643857200
AL29,2022-02-04,6987.5,6987.5,6795.5,6840.0,103797,1643943600
AL29,2022-02-07,6840.0,6894.5,6745.0,6800.0,211436,1644202800
AL29,2022-02-08,6800.0,6860.0,6770.0,6785.0,295498,1644289200
AL29,2022-02-09,6700.0,6800.0,6647.0,6690.5,483278,1644375600
AL29,2022-02-10,6600.0,6700.0,6600.0,6618.0,174687,1644462000
AL29,2022-02-11,6670.0,6739.0,6542.0,6550.0,342749,1644548400
AL29,2022-02-14,6525.0,6525.0,6453.5,6514.0,418701,1644807600
AL29,2022-02-15,6517.0,6597.5,6517.0,6525.0,305433,1644894000
AL29,2022-02-16,6600.0,6652.5,6545.0,6569.5,537762,1644980400
AL29,2022-02-17,6575.0,6587.5,6474.0,6477.0,166604,1645066800
AL29,2022-02-18,6549.5,6549.5,6400.0,6500.0,209319,1645153200
AL29,2022-02-21,6530.0,6602.0,6470.5,6535.0,502526,1645412400
AL29,2022-02-22,6550.0,6555.0,6345.0,6380.0,483747,1645498800
AL29,2022-02-23,6400.0,6400.0,6319.0,6380.0,179289,1645585200
AL29,2022-02-24,6332.0,6332.0,6190.0,6245.0,161982,1645671600
AL29,2022-02-25,6244.0,6300.0,6060.0,6149.5,156683,1645758000
AL29,2022-03-02,6200.0,6200.0,6051.0,6090.0,255903,1646190000
AL29,2022-03-03,6090.0,6190.0,6007.0,6144.0,329999,1646276400
AL29,2022-03-04,6150.0,6150.0,5920.0,5955.0,143997,1646362800
AL29,2022-03-07,5990.0,5990.0,5800.0,5809.0,328399,1646622000
AL29,2022-03-08,5800.0,5840.0,5685.0,5760.0,106361,1646708400
AL29,2022-03-09,5760.0,5950.0,5760.0,5864.0,251365,1646794800
AL29,2022-03-10,5920.0,6023.0,5881.5,5910.0,1110788,1646881200
AL29,2022-03-11,5990.0,6030.0,5810.0,5879.0,260750,1646967600
AL29,2022-03-14,5880.0,5915.0,5800.5,5840.0,99761,1647226800
AL29,2022-03-15,5810.0,5870.0,5810.0,5845.0,188147,1647313200
AL29,2022-03-16,5815.5,6000.0,5810.0,5995.0,532816,1647399600
AL29,2022-03-17,5999.0,6130.0,5965.0,6105.0,604898,1647486000
AL29,2022-03-18,6123.5,6123.5,6000.0,6010.0,152879,1647572400
AL29,2022-03-21,6050.0,6100.0,5965.0,6040.0,99197,1647831600
AL29,2022-03-22,6100.0,6100.0,6000.0,6030.0,225976,1647918000
AL29,2022-03-23,5965.0,6055.0,5965.0,5986.0,186008,1648004400
AL29,2022-03-25,6001.0,6150.0,5990.0,6086.0,289051,1648177200
AL29,2022-03-28,6090.0,6170.0,6039.0,6125.0,677062,1648436400
AL29,2022-03-29,6200.0,6200.0,6050.0,6050.0,496065,1648522800
AL29,2022-03-30,6049.5,6149.0,6049.5,6100.0,434829,1648609200
AL29,2022-03-31,6052.0,6165.0,6000.0,6085.0,271999,1648695600
AL29,2022-04-01,6080.0,6150.0,6020.0,6143.0,286996,1648782000
AL29,2022-04-04,6200.0,6275.0,6105.0,6210.0,210904,1649041200
AL29,2022-04-05,6274.0,6324.0,6020.0,6110.0,995579,1649127600
AL29,2022-04-06,6025.0,6100.0,5950.0,6045.0,782193,1649214000
AL29,2022-04-07,6045.0,6070.0,5980.5,6039.0,476422,1649300400
AL29,2022-04-08,6039.0,6070.0,5900.0,5970.0,489654,1649386800
AL29,2022-04-11,6000.0,6000.0,5880.0,5935.0,606148,1649646000
AL29,2022-04-12,5890.5,5960.0,5890.5,5910.0,77263,1649732400
AL29,2022-04-13,5900.0,5997.5,5890.0,5940.0,189107,1649818800
AL29,2022-04-18,5935.0,5969.5,5910.5,5933.0,518085,1650250800
AL29,2022-04-19,6000.0,6000.0,5915.0,5965.0,477780,1650337200
AL29,2022-04-20,5915.0,6090.0,5915.0,6090.0,342184,1650423600
AL29,2022-04-21,6169.0,6222.0,6041.0,6222.0,165968,1650510000
AL29,2022-04-22,6226.0,6297.5,6140.0,6235.0,147928,1650596400
AL29,2022-04-25,6235.0,6334.0,6120.0,6334.0,538120,1650855600
AL29,2022-04-26,6379.5,6380.0,6200.0,6290.0,666822,1650942000
AL29,2022-04-27,6285.0,6350.0,6200.0,6200.0,222833,1651028400
AL29,2022-04-28,6200.0,6210.0,5928.0,6004.0,507072,1651114800
AL29,2022-04-29,5945.0,6025.0,5900.0,5980.0,158617,1651201200
AL29,2022-05-02,5970.0,6038.5,5915.5,6001.0,412773,1651460400
AL29,2022-05-03,5970.0,6076.5,5970.0,6045.0,1070530,1651546800
AL29,2022-05-04,6089.5,6130.5,5985.0,6055.0,268922,1651633200
AL29,2022-05-05,6098.0,6098.0,5931.0,5974.5,337518,1651719600
AL29,2022-05-06,5998.5,5998.5,5890.0,5900.0,1160769,1651806000
AL29,2022-05-09,5900.0,5919.5,5792.5,5830.0,272434,1652065200
AL29,2022-05-10,5870.0,5898.0,5785.0,5879.0,977984,1652151600
AL29,2022-05-11,5860.5,5960.0,5860.0,5930.0,255205,1652238000
AL29,2022-05-12,5900.0,5900.0,5780.0,5840.0,145740,1652324400
AL29,2022-05-13,5830.0,5879.0,5785.0,5865.0,255379,1652410800
AL29,2022-05-16,5865.0,5865.0,5800.0,5839.0,98673,1652670000
AL29,2022-05-17,5839.0,5895.0,5730.0,5773.0,292518,1652756400
AL29,2022-05-19,5773.0,5850.0,5680.0,5730.0,100686,1652929200
AL29,2022-05-20,5701.5,5795.0,5610.0,5630.0,397579,1653015600
AL29,2022-05-23,5690.0,5746.0,5621.5,5746.0,882271,1653274800
AL29,2022-05-24,5700.5,5768.0,5695.0,5755.0,449760,1653361200
AL29,2022-05-26,5760.0,5839.0,5755.0,5790.0,473046,1653534000
AL29,2022-05-27,5830.0,5840.0,5735.5,5745.0,205162,1653620400
AL29,2022-05-30,5746.0,5805.0,5700.0,5805.0,148716,1653879600
