especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL30,2022-01-03,6478.0,6574.0,6470.0,6554.5,12766468,1641178800
AL30,2022-01-04,6560.0,6597.0,6451.0,6465.0,21871418,1641265200
AL30,2022-01-05,6495.0,6500.0,6381.0,6410.0,19998424,1641351600
AL30,2022-01-06,6330.0,6360.0,6250.0,6271.0,18756240,1641438000
AL30,2022-01-07,6244.0,6270.0,6123.0,6160.0,13878812,1641524400
AL30,2022-01-10,6170.0,6233.0,6075.5,6205.0,12008723,1641783600
AL30,2022-01-11,6245.0,6250.0,6111.0,6134.5,16557423,1641870000
AL30,2022-01-12,6177.0,6199.5,6080.0,6083.0,14127919,1641956400
AL30,2022-01-13,6095.0,6095.0,5947.0,5982.0,18703724,1642042800
AL30,2022-01-14,5977.0,5977.0,5905.0,5934.0,21378064,1642129200
AL30,2022-01-17,5959.0,5967.5,5910.0,5964.0,11761444,1642388400
AL30,2022-01-18,5959.0,5960.0,5901.0,5931.0,14052480,1642474800
AL30,2022-01-19,5988.0,6069.0,5960.5,6059.0,18549386,1642561200
AL30,2022-01-20,6100.0,6141.0,6071.5,6100.0,19354264,1642647600
AL30,2022-01-21,6120.0,6160.0,6070.0,6127.0,15433571,1642734000
AL30,2022-01-24,6135.0,6139.5,6085.0,6095.0,18215230,1642993200
AL30,2022-01-25,6110.0,6192.0,6052.0,6186.5,14460309,1643079600
AL30,2022-01-26,6200.0,6430.0,6200.0,6358.0,17664986,1643166000
AL30,2022-01-27,6358.0,6455.0,6299.0,6415.0,20733300,1643252400
AL30,2022-01-28,6600.0,6799.0,6535.0,6660.0,19152966,1643338800
AL30,2022-01-31,6670.0,6805.0,6670.0,6788.0,19424516,1643598000
AL30,2022-02-01,6780.0,6799.0,6661.5,6751.0,12195068,1643684400
AL30,2022-02-02,6799.0,6844.5,6712.5,6721.0,15576288,1643770800
AL30,2022-02-03,6745.0,6745.0,6530.0,6579.0,12099425,1643857200
AL30,2022-02-04,6570.0,6595.0,6386.0,6400.0,10657998,1643943600
AL30,2022-02-07,6435.0,6450.0,6323.0,6440.0,8563733,1644202800
AL30,2022-02-08,6450.0,6517.0,6402.5,6419.0,10678326,1644289200
AL30,2022-02-09,6471.0,6471.0,6315.0,6326.5,10765785,1644375600
