especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AE38,2020-09-07,6100,6398.5,6050,6150,754000,1599447600
AE38,2020-09-08,6150,6200,6060,6190,1274988,1599534000
AE38,2020-09-09,6200,6350,6200,6260,759805,1599620400
AE38,2020-09-10,6200,6310,6200,6270,494327,1599706800
AE38,2020-09-11,6300,6300,6110,6190,985682,1599793200
AE38,2020-09-14,6270,6270,6021.5,6124.5,1176755,1600052400
AE38,2020-09-15,6130,6194.5,5950,5950,1630721,1600138800
AE38,2020-09-16,6049.5,6049.5,5760,5810,473079,1600225200
AE38,2020-09-17,5800,5800,5420,5600,878602,1600311600
AE38,2020-09-18,5600,5789.5,5599.5,5745,821910,1600398000
AE38,2020-09-21,5790,5830,5550,5800,714178,1600657200
AE38,2020-09-22,5800,5870,5681,5775,933151,1600743600
AE38,2020-09-23,5650,5878,5650,5874,1639517,1600830000
AE38,2020-09-24,5890,5890,5650,5717.5,1137731,1600916400
AE38,2020-09-25,5719,5779,5690,5769,1453517,1601002800
AE38,2020-09-28,5682,5830,5680,5829.5,1348701,1601262000
AE38,2020-09-29,5811,5909.5,5750,5865,704606,1601348400
AE38,2020-09-30,5815,5949.5,5815,5920,5036634,1601434800
AE38,2020-10-01,6049,6049,5900,5979.5,729761,1601521200
AE38,2020-10-02,5852,6024.5,5850,6017,968909,1601607600
AE38,2020-10-05,6050,6050,5929,5980,1444702,1601866800
AE38,2020-10-06,5800,5980,5800,5830,647793,1601953200
AE38,2020-10-07,5831,5924.5,5700,5830,859800,1602039600
AE38,2020-10-08,5865,5880,5782,5880,1675651,1602126000
AE38,2020-10-09,5970,6129,5900,6020,4253370,1602212400
AE38,2020-10-13,5990,6135,5990,6065,763656,1602558000
AE38,2020-10-14,6294,6294,6037.5,6135,1331733,1602644400
AE38,2020-10-15,6246.5,6299,6190,6225,1380897,1602730800
AE38,2020-10-16,6220,6350,6001,6095,1952915,1602817200
AE38,2020-10-19,6198.5,6198.5,5940,6031,1282796,1603076400
AE38,2020-10-20,6050,6090,5805,6030,1086363,1603162800
AE38,2020-10-21,6140,6190,6060,6099,969604,1603249200
AE38,2020-10-22,6099,6130,5905,6099,1450894,1603335600
AE38,2020-10-23,6050,6200,5905,5905,1746056,1603422000
AE38,2020-10-26,6100,6100,5635,5635,1203662,1603681200
AE38,2020-10-27,5860,5860,5300,5530,1382429,1603767600
AE38,2020-10-28,5800,5800,5250,5300,1985408,1603854000
AE38,2020-10-29,5420,5420,5190,5245,1409621,1603940400
AE38,2020-10-30,5329,5329,5100,5183,962045,1604026800
AE38,2020-11-02,5250,5250,5150,5189,432223,1604286000
AE38,2020-11-03,5200,5295,5200,5280,1956466,1604372400
AE38,2020-11-04,5350,5350,5260,5300,989688,1604458800
AE38,2020-11-05,5300,5450,5280,5335,755031,1604545200
AE38,2020-11-06,5445,5445,5300.5,5347,374558,1604631600
AE38,2020-11-09,5490,5498,5335,5401,780052,1604890800
AE38,2020-11-10,5400,5590,5366,5500,3812448,1604977200
AE38,2020-11-11,5500,5690,5411,5690,1988073,1605063600
AE38,2020-11-12,5550,5650,5415,5560,1269924,1605150000
AE38,2020-11-13,5689,5689,5540,5631,1549039,1605236400
AE38,2020-11-16,5700,5749,5600,5720,1684003,1605495600
AE38,2020-11-17,5720,5739,5690,5729,999194,1605582000
AE38,2020-11-18,5760,5800,5701,5780,728172,1605668400
AE38,2020-11-19,5795,5795,5705,5744,228452,1605754800
AE38,2020-11-20,5700,5772,5640,5690,430196,1605841200
AE38,2020-11-24,5720,5759,5550,5590,770883,1606186800
AE38,2020-11-25,5620,5659.5,5460,5502,722036,1606273200
AE38,2020-11-26,5510,5650,5480,5530,215565,1606359600
AE38,2020-11-27,5580,5580,5462,5475,425912,1606446000
AE38,2020-11-30,5579.5,5579.5,5280,5370.5,638084,1606705200
AE38,2020-12-01,5500,5500,5300,5400,1502491,1606791600
AE38,2020-12-02,5499.5,5499.5,5280,5385,1315773,1606878000
AE38,2020-12-03,5340,5423.5,5249,5265,572798,1606964400
AE38,2020-12-04,5360,5360,5211.5,5235,1154319,1607050800
AE38,2020-12-09,5235,5300,5110,5180,774665,1607482800
AE38,2020-12-10,5235,5235,5116,5160,1099487,1607569200
AE38,2020-12-11,5200,5230,5120,5210,1109642,1607655600
AE38,2020-12-14,5220,5260,5190,5250,1001354,1607914800
AE38,2020-12-15,5241,5330,5241,5276,696924,1608001200
AE38,2020-12-16,5339,5339,5230,5270,693475,1608087600
AE38,2020-12-17,5270,5350,5250,5350,1182152,1608174000
AE38,2020-12-18,5340,5450,5280,5450,930510,1608260400
AE38,2020-12-21,5450,5510,5350,5365,1328357,1608519600
AE38,2020-12-22,5410,5425,5365,5400,1421136,1608606000
AE38,2020-12-23,5430,5474,5421,5455,1263781,1608692400
AE38,2020-12-28,5698,5698,5432,5530,404625,1609124400
AE38,2020-12-29,5530,5550,5450,5470,316609,1609210800
AE38,2020-12-30,5500,5500,5376,5385,1883167,1609297200
