Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility
2022-01-28 00:00:00-03:00,3855.0,3908.0,3619.0,3819.0,39285,0.0,0.0,,
2022-01-31 00:00:00-03:00,3901.0,4227.0,3872.0,4149.5,62406,0.0,0.0,0.08654097931395643,
2022-02-01 00:00:00-03:00,4200.0,4290.0,4106.5,4128.5,43222,0.0,0.0,-0.005060850704904252,
2022-02-02 00:00:00-03:00,4210.0,4314.5,3961.0,3975.5,32920,0.0,0.0,-0.037059464696621025,
2022-02-03 00:00:00-03:00,3890.0,3890.0,3658.0,3707.0,58769,0.0,0.0,-0.06753867438058103,
2022-02-04 00:00:00-03:00,3750.0,3857.0,3650.5,3827.5,31268,0.0,0.0,0.032506069598057685,
2022-02-07 00:00:00-03:00,3870.0,3955.0,3790.0,3859.0,19604,0.0,0.0,0.00822991508817772,
2022-02-08 00:00:00-03:00,3859.5,3859.5,3717.0,3773.5,40696,0.0,0.0,-0.022155998963461987,
2022-02-09 00:00:00-03:00,3870.0,3995.0,3827.5,3985.5,28561,0.0,0.0,0.05618126407844182,
2022-02-10 00:00:00-03:00,3956.0,4099.0,3830.0,4089.5,42289,0.0,0.0,0.02609459289925975,
2022-02-11 00:00:00-03:00,4098.0,4100.0,3853.5,3878.0,30650,0.0,0.0,-0.051717813913681354,
2022-02-14 00:00:00-03:00,3878.0,4049.5,3849.5,3994.5,35722,0.0,0.0,0.03004125838060867,
2022-02-15 00:00:00-03:00,4020.0,4163.0,4020.0,4085.5,27780,0.0,0.0,0.022781324320941376,
2022-02-16 00:00:00-03:00,4075.0,4111.0,3871.0,3942.5,53092,0.0,0.0,-0.03500183576061677,
2022-02-17 00:00:00-03:00,3939.5,3940.0,3647.5,3652.0,57063,0.0,0.0,-0.0736842105263158,
2022-02-18 00:00:00-03:00,3673.0,3700.0,3269.5,3295.5,130604,0.0,0.0,-0.0976177437020811,
2022-02-21 00:00:00-03:00,3314.0,3360.0,3186.0,3211.5,18681,0.0,0.0,-0.025489303595812474,
2022-02-22 00:00:00-03:00,3211.5,3247.0,2967.0,3023.0,115709,0.0,0.0,-0.058695313716331965,
2022-02-23 00:00:00-03:00,3199.0,3338.5,3140.0,3146.5,186749,0.0,0.0,0.04085345683096264,
2022-02-24 00:00:00-03:00,2972.0,3440.0,2840.0,3431.0,140656,0.0,0.0,0.09041792467821397,
2022-02-25 00:00:00-03:00,3503.0,3712.5,3487.0,3659.5,76179,0.0,0.0,0.0665986592830079,0.8736477705739654
2022-03-02 00:00:00-03:00,3766.0,3829.5,3590.5,3805.5,66865,0.0,0.0,0.0398961606776882,0.8262832585631756
2022-03-03 00:00:00-03:00,3800.0,3899.5,3650.0,3681.0,26484,0.0,0.0,-0.03271580607016156,0.8329927013883911
2022-03-04 00:00:00-03:00,3659.5,3712.0,3500.0,3577.5,34396,0.0,0.0,-0.028117359413202925,0.8289381080324663
2022-03-07 00:00:00-03:00,3511.0,3600.0,3236.0,3252.0,43685,0.0,0.0,-0.09098532494758915,0.8565104861777707
2022-03-08 00:00:00-03:00,3252.0,3300.0,3059.5,3116.0,67194,0.0,0.0,-0.04182041820418203,0.8538245616466241
